WhatIsYourSex,HowTallAreYouWithoutShoesInMeters
1.0,1.7
1.0,1.75
1.0,1.68
1.0,1.68
2.0,1.7
2.0,1.73
1.0,1.52
1.0,1.73
1.0,1.57
1.0,1.52
1.0,1.6
2.0,1.83
1.0,1.7
1.0,1.5
2.0,1.63
2.0,1.8
1.0,1.57
1.0,1.7
1.0,1.68
1.0,1.6
1.0,1.57
1.0,1.55
1.0,1.6
1.0,1.73
1.0,1.27
1.0,1.57
1.0,1.63
1.0,1.8
2.0,1.83
2.0,1.55
2.0,1.68
2.0,1.68
1.0,1.6
1.0,1.65
1.0,1.5
2.0,1.65
1.0,1.52
1.0,1.68
2.0,1.73
2.0,1.73
2.0,1.68
2.0,1.78
1.0,1.57
1.0,1.6
1.0,1.63
2.0,1.8
2.0,1.83
2.0,1.83
2.0,1.75
1.0,1.47
1.0,1.78
1.0,1.5
1.0,1.63
1.0,1.57
1.0,1.55
1.0,1.6
1.0,1.6
1.0,1.52
2.0,1.65
2.0,1.68
2.0,1.78
2.0,1.7
2.0,1.75
2.0,1.78
2.0,1.65
2.0,1.73
2.0,1.73
2.0,1.78
1.0,1.68
1.0,1.73
1.0,1.57
2.0,1.68
2.0,1.75
2.0,1.75
2.0,1.83
1.0,1.63
1.0,1.57
1.0,1.7
1.0,1.65
1.0,1.68
1.0,1.55
2.0,1.73
2.0,1.7
2.0,1.7
2.0,1.96
2.0,1.75
2.0,1.8
2.0,1.8
2.0,1.8
2.0,1.75
2.0,1.8
2.0,1.73
2.0,1.83
1.0,1.75
1.0,1.6
1.0,1.6
1.0,1.6
1.0,1.63
1.0,1.63
1.0,1.5
1.0,1.63
1.0,1.63
1.0,1.6
2.0,1.75
2.0,1.6
2.0,1.8
2.0,1.68
2.0,1.9
2.0,1.73
2.0,1.88
2.0,1.85
2.0,1.75
2.0,1.83
1.0,1.6
1.0,1.63
1.0,1.73
1.0,1.7
2.0,1.68
2.0,1.9
2.0,1.9
2.0,1.7
2.0,1.7
2.0,1.8
2.0,1.8
2.0,1.75
1.0,1.68
1.0,1.6
1.0,1.63
1.0,1.5
1.0,1.63
1.0,1.68
1.0,1.63
1.0,1.7
1.0,1.6
2.0,1.85
2.0,2.06
1.0,1.6
1.0,1.6
1.0,1.7
1.0,1.73
1.0,1.57
1.0,1.6
1.0,1.6
1.0,1.65
1.0,1.65
1.0,1.63
1.0,1.73
1.0,1.65
1.0,1.68
2.0,1.68
2.0,1.65
2.0,1.75
2.0,1.68
2.0,1.68
2.0,1.85
2.0,1.83
2.0,1.78
2.0,1.68
2.0,1.7
2.0,1.75
2.0,1.75
1.0,1.7
2.0,1.75
2.0,1.85
2.0,1.65
2.0,1.63
2.0,1.8
2.0,1.85
2.0,1.78
2.0,1.88
2.0,1.52
2.0,1.75
2.0,1.73
2.0,1.85
2.0,1.85
2.0,1.83
1.0,1.65
1.0,1.68
1.0,1.75
1.0,1.73
1.0,1.7
1.0,1.75
1.0,1.5
1.0,1.63
1.0,1.63
1.0,1.6
1.0,1.6
1.0,1.73
1.0,1.63
1.0,1.63
2.0,1.83
2.0,1.73
2.0,1.78
2.0,1.78
2.0,1.8
1.0,1.63
1.0,1.55
1.0,1.6
1.0,1.63
1.0,1.52
1.0,1.73
1.0,1.57
1.0,1.73
1.0,1.68
1.0,1.47
1.0,1.7
1.0,1.68
2.0,1.9
2.0,1.78
2.0,1.73
2.0,1.68
2.0,1.73
2.0,1.88
2.0,1.73
2.0,1.8
2.0,1.88
2.0,1.75
2.0,1.83
2.0,1.75
2.0,1.83
2.0,1.83
2.0,1.73
2.0,1.7
2.0,1.88
2.0,1.78
2.0,1.7
2.0,1.68
2.0,1.73
2.0,1.63
2.0,1.6
2.0,1.52
2.0,1.78
2.0,1.75
1.0,1.6
1.0,1.65
1.0,1.65
1.0,1.7
1.0,1.73
1.0,1.6
1.0,1.65
1.0,1.6
1.0,1.65
1.0,1.57
1.0,1.55
1.0,1.65
1.0,1.6
2.0,1.73
2.0,1.8
2.0,1.85
2.0,1.78
2.0,1.7
2.0,1.75
2.0,1.65
2.0,1.8
2.0,1.83
2.0,1.7
2.0,1.65
2.0,1.73
1.0,1.65
1.0,1.63
1.0,1.57
1.0,1.57
1.0,1.5
1.0,1.52
1.0,1.68
1.0,1.57
1.0,1.65
1.0,1.6
1.0,1.57
1.0,1.65
1.0,1.55
2.0,1.7
2.0,1.7
2.0,1.88
2.0,1.68
2.0,1.68
2.0,1.83
2.0,1.83
2.0,1.8
2.0,1.75
1.0,1.5
1.0,1.68
2.0,1.63
2.0,1.83
2.0,1.78
2.0,1.73
2.0,1.85
2.0,1.78
2.0,1.73
2.0,1.65
1.0,1.5
1.0,1.63
1.0,1.7
1.0,1.68
1.0,1.55
1.0,1.6
1.0,1.57
1.0,1.55
1.0,1.63
1.0,1.65
2.0,1.75
1.0,1.7
1.0,1.73
1.0,1.7
1.0,1.65
2.0,1.88
2.0,1.88
2.0,1.75
2.0,1.7
2.0,1.73
1.0,1.63
1.0,1.55
1.0,1.6
2.0,1.75
2.0,1.63
2.0,1.8
2.0,1.73
1.0,1.57
1.0,1.68
1.0,1.73
2.0,1.9
2.0,1.78
2.0,1.7
2.0,1.83
2.0,1.8
2.0,1.75
2.0,1.83
2.0,1.88
2.0,1.8
1.0,1.7
1.0,1.55
1.0,1.7
1.0,1.73
1.0,1.6
1.0,1.57
1.0,1.68
1.0,1.68
1.0,1.68
1.0,1.63
1.0,1.65
1.0,1.6
2.0,1.78
2.0,1.78
2.0,1.85
2.0,1.78
2.0,1.75
2.0,1.75
2.0,1.73
2.0,1.78
2.0,1.68
1.0,1.73
1.0,1.73
1.0,1.68
1.0,1.57
1.0,1.65
1.0,1.52
1.0,1.68
1.0,1.52
1.0,1.73
1.0,1.6
1.0,1.5
1.0,1.65
1.0,1.6
1.0,1.63
1.0,1.75
1.0,1.6
2.0,1.83
1.0,1.55
1.0,1.8
1.0,1.6
1.0,1.65
1.0,1.78
1.0,1.75
2.0,1.75
2.0,1.8
2.0,1.68
2.0,1.73
2.0,1.75
2.0,1.85
2.0,1.73
2.0,1.63
2.0,1.83
2.0,1.73
2.0,1.68
2.0,1.75
2.0,1.6
2.0,1.78
2.0,1.6
2.0,1.7
2.0,1.65
2.0,1.68
2.0,1.65
2.0,1.83
1.0,1.68
1.0,1.63
1.0,1.65
1.0,1.63
1.0,1.65
1.0,1.65
1.0,1.65
1.0,1.6
1.0,1.65
1.0,1.52
1.0,1.68
1.0,1.68
1.0,1.55
1.0,1.63
1.0,1.6
2.0,1.75
2.0,1.65
2.0,1.8
2.0,1.75
2.0,1.83
2.0,1.78
2.0,1.78
2.0,1.83
2.0,1.68
2.0,1.88
1.0,1.73
1.0,1.57
1.0,1.57
1.0,1.6
1.0,1.68
1.0,1.6
1.0,1.63
1.0,1.68
1.0,1.57
1.0,1.75
1.0,1.7
2.0,1.78
2.0,1.88
2.0,1.75
2.0,1.68
2.0,1.75
2.0,1.83
2.0,1.7
2.0,1.88
2.0,1.8
2.0,1.85
2.0,1.73
2.0,1.83
2.0,1.85
1.0,1.7
2.0,1.7
1.0,1.63
1.0,1.65
1.0,1.52
1.0,1.63
1.0,1.57
1.0,1.75
1.0,1.63
1.0,1.52
1.0,1.63
1.0,1.55
1.0,1.7
1.0,1.63
1.0,1.7
1.0,1.65
2.0,1.75
2.0,1.73
2.0,1.7
2.0,1.88
2.0,1.75
1.0,1.63
1.0,1.5
1.0,1.57
1.0,1.75
1.0,1.55
1.0,1.7
1.0,1.55
1.0,1.7
1.0,1.7
1.0,1.6
1.0,1.63
2.0,1.78
2.0,1.96
2.0,1.73
2.0,1.9
2.0,1.78
1.0,1.52
1.0,1.55
1.0,1.75
1.0,1.68
1.0,1.63
1.0,1.68
1.0,1.55
1.0,1.57
1.0,1.52
1.0,1.78
1.0,1.65
1.0,1.6
1.0,1.57
1.0,1.63
2.0,1.63
2.0,1.6
2.0,1.7
2.0,1.7
2.0,1.85
2.0,1.75
2.0,1.85
2.0,1.68
1.0,1.6
2.0,1.8
1.0,1.63
1.0,1.57
1.0,1.73
1.0,1.55
1.0,1.6
1.0,1.73
1.0,1.7
1.0,1.68
1.0,1.73
1.0,1.57
1.0,1.65
2.0,1.8
2.0,1.73
2.0,1.78
2.0,1.85
2.0,1.93
2.0,1.85
2.0,1.8
2.0,1.7
2.0,1.7
2.0,1.8
1.0,1.68
1.0,1.6
1.0,1.55
1.0,1.55
1.0,1.65
1.0,1.63
1.0,1.75
1.0,1.6
1.0,1.7
1.0,1.73
2.0,1.78
2.0,1.75
2.0,1.75
2.0,1.8
2.0,1.78
2.0,1.85
2.0,1.7
2.0,1.63
1.0,1.85
1.0,1.63
1.0,1.65
2.0,1.85
1.0,1.63
1.0,1.6
1.0,1.55
1.0,1.63
1.0,1.6
1.0,1.63
1.0,1.78
1.0,1.63
1.0,1.65
1.0,1.57
1.0,1.83
1.0,1.75
2.0,1.78
2.0,1.98
2.0,1.8
2.0,1.8
2.0,1.83
2.0,1.83
2.0,1.8
2.0,1.8
2.0,1.96
1.0,1.7
1.0,1.6
1.0,1.65
1.0,1.88
1.0,1.73
1.0,1.7
1.0,1.63
1.0,1.75
1.0,1.55
1.0,1.7
1.0,1.68
1.0,1.68
1.0,1.8
2.0,1.6
2.0,1.83
2.0,1.75
2.0,1.83
2.0,1.75
2.0,1.88
2.0,1.83
2.0,1.85
2.0,1.78
1.0,1.57
1.0,1.55
1.0,1.6
1.0,1.65
1.0,1.85
1.0,1.85
1.0,1.57
1.0,1.68
2.0,1.85
2.0,1.75
2.0,1.78
2.0,1.93
2.0,1.83
2.0,1.8
2.0,1.98
2.0,1.7
2.0,1.83
2.0,1.83
1.0,1.73
2.0,1.98
2.0,1.96
2.0,1.83
2.0,1.9
2.0,1.73
2.0,1.88
2.0,1.8
2.0,1.88
2.0,1.73
2.0,1.83
1.0,1.63
1.0,1.68
1.0,1.65
1.0,1.6
1.0,1.7
1.0,1.7
1.0,1.7
1.0,1.57
1.0,1.6
1.0,1.63
2.0,1.73
2.0,1.88
1.0,1.57
2.0,1.83
1.0,1.7
1.0,1.73
2.0,1.83
1.0,1.6
1.0,1.55
2.0,1.9
1.0,1.57
1.0,1.65
1.0,1.57
1.0,1.73
1.0,1.65
2.0,1.78
2.0,1.68
1.0,1.68
1.0,1.7
2.0,1.75
2.0,1.75
2.0,1.73
1.0,1.7
2.0,1.65
1.0,1.7
2.0,1.68
2.0,1.93
2.0,1.78
1.0,1.65
2.0,1.78
2.0,1.88
2.0,1.75
1.0,1.63
2.0,1.63
2.0,1.85
1.0,1.65
2.0,1.73
1.0,1.65
2.0,1.8
2.0,1.75
1.0,1.63
1.0,1.7
1.0,1.63
1.0,1.65
2.0,1.85
2.0,1.75
1.0,1.57
2.0,1.88
1.0,1.57
2.0,1.7
1.0,1.68
2.0,1.78
1.0,1.6
2.0,1.68
1.0,1.68
1.0,1.7
1.0,1.68
1.0,1.8
1.0,1.63
1.0,1.57
1.0,1.73
1.0,1.6
2.0,1.85
2.0,1.88
2.0,1.78
2.0,1.88
2.0,1.78
2.0,1.7
2.0,1.73
1.0,1.55
1.0,1.68
1.0,1.65
2.0,1.7
2.0,1.8
2.0,1.52
2.0,1.7
2.0,1.85
2.0,1.73
2.0,1.75
2.0,1.57
2.0,1.8
2.0,1.65
2.0,1.75
1.0,1.73
1.0,1.57
1.0,1.73
1.0,1.6
1.0,1.78
2.0,1.8
2.0,1.85
2.0,1.75
2.0,1.83
2.0,1.73
1.0,1.6
1.0,1.55
1.0,1.8
1.0,1.63
1.0,1.6
1.0,1.6
2.0,1.85
2.0,1.8
2.0,1.75
2.0,1.7
2.0,1.8
2.0,1.7
1.0,1.73
1.0,1.7
1.0,1.57
1.0,1.68
2.0,1.75
1.0,1.7
1.0,1.57
1.0,1.6
1.0,1.73
2.0,1.8
2.0,1.8
2.0,1.8
2.0,1.83
2.0,1.85
2.0,1.83
2.0,1.75
2.0,1.8
2.0,1.75
2.0,1.83
2.0,1.78
2.0,1.78
1.0,1.68
1.0,1.65
1.0,1.6
1.0,1.6
1.0,1.63
1.0,1.68
2.0,1.8
2.0,1.75
2.0,1.8
1.0,1.68
1.0,1.52
1.0,1.73
1.0,1.65
1.0,1.57
1.0,1.52
1.0,1.6
1.0,1.5
1.0,1.63
1.0,1.6
1.0,1.63
2.0,1.88
2.0,1.75
2.0,1.75
2.0,1.88
2.0,1.75
2.0,1.75
2.0,1.68
2.0,1.68
2.0,1.7
2.0,1.73
2.0,1.78
1.0,1.75
1.0,1.5
1.0,1.63
1.0,1.55
1.0,1.63
1.0,1.65
1.0,1.7
1.0,1.68
1.0,1.5
1.0,1.63
1.0,1.65
1.0,1.65
1.0,1.65
1.0,1.65
1.0,1.5
1.0,1.57
1.0,1.6
1.0,1.63
1.0,1.7
1.0,1.75
1.0,1.57
1.0,1.68
2.0,1.88
2.0,1.93
2.0,1.83
2.0,1.75
2.0,1.85
2.0,1.9
2.0,1.7
2.0,1.73
2.0,1.85
1.0,1.6
2.0,1.78
2.0,1.8
2.0,1.68
2.0,1.73
2.0,1.63
2.0,1.57
2.0,1.73
2.0,1.88
2.0,1.7
1.0,1.57
1.0,1.55
1.0,1.63
1.0,1.73
1.0,1.47
1.0,1.68
1.0,1.65
1.0,1.75
1.0,1.6
1.0,1.65
1.0,1.75
1.0,1.63
1.0,1.68
1.0,1.57
1.0,1.75
1.0,1.85
1.0,1.65
1.0,1.73
1.0,1.73
2.0,1.8
1.0,1.52
1.0,1.5
1.0,1.68
1.0,1.68
1.0,1.73
1.0,1.68
1.0,1.52
1.0,1.55
1.0,1.63
1.0,1.63
1.0,1.52
1.0,1.7
2.0,1.73
2.0,1.8
2.0,1.75
2.0,2.03
2.0,1.83
2.0,1.75
2.0,1.7
2.0,1.85
1.0,1.83
1.0,1.52
1.0,1.57
1.0,1.63
1.0,1.6
1.0,1.63
1.0,1.68
1.0,1.7
2.0,1.85
2.0,1.83
2.0,1.73
2.0,1.55
2.0,1.73
2.0,1.83
2.0,1.63
2.0,1.78
1.0,1.6
1.0,1.6
1.0,1.52
1.0,1.73
1.0,1.57
1.0,1.6
1.0,1.7
2.0,1.75
2.0,1.75
2.0,1.7
2.0,1.7
2.0,1.75
2.0,1.8
2.0,1.88
2.0,1.73
2.0,1.85
2.0,1.73
1.0,1.68
1.0,1.75
1.0,1.7
1.0,1.7
1.0,1.63
1.0,1.55
1.0,1.55
1.0,1.57
1.0,1.78
1.0,1.63
1.0,1.65
1.0,1.68
1.0,1.73
1.0,1.68
2.0,1.75
2.0,1.78
2.0,1.8
2.0,1.8
2.0,1.57
2.0,1.73
1.0,1.65
1.0,1.55
1.0,1.57
2.0,1.73
1.0,1.57
1.0,1.68
2.0,1.88
2.0,1.68
2.0,1.75
2.0,1.73
2.0,1.73
2.0,1.8
2.0,1.8
2.0,1.85
2.0,1.7
2.0,1.73
2.0,1.83
2.0,1.83
2.0,1.8
2.0,1.83
2.0,1.8
2.0,1.7
2.0,1.78
2.0,1.6
2.0,1.85
1.0,1.68
1.0,1.55
1.0,1.7
1.0,1.55
1.0,1.75
1.0,1.73
1.0,1.7
1.0,1.75
1.0,1.6
1.0,1.68
2.0,1.85
2.0,1.78
1.0,1.55
1.0,1.5
2.0,1.83
2.0,1.78
1.0,1.73
1.0,1.57
1.0,1.7
1.0,1.73
2.0,1.78
2.0,1.83
2.0,1.65
2.0,1.88
2.0,1.96
1.0,1.5
1.0,1.65
1.0,1.6
1.0,1.73
1.0,1.45
1.0,1.52
1.0,1.5
1.0,1.7
1.0,1.73
2.0,1.78
2.0,1.7
2.0,1.73
2.0,1.73
2.0,1.85
2.0,1.57
2.0,1.7
1.0,1.63
1.0,1.68
1.0,1.7
1.0,1.7
1.0,1.65
1.0,1.98
1.0,1.65
1.0,1.7
1.0,1.6
1.0,1.55
2.0,1.65
2.0,1.78
2.0,1.7
2.0,1.78
2.0,1.7
1.0,1.52
1.0,1.63
1.0,1.65
1.0,1.65
1.0,1.73
1.0,1.73
2.0,1.85
2.0,1.73
2.0,1.75
2.0,1.8
2.0,1.65
2.0,1.88
2.0,1.78
2.0,1.68
1.0,1.65
1.0,1.6
1.0,1.52
1.0,1.7
1.0,1.68
2.0,1.88
2.0,1.85
2.0,1.65
2.0,1.68
1.0,1.57
1.0,1.63
1.0,1.63
2.0,1.75
2.0,1.7
2.0,1.85
2.0,1.75
2.0,2.06
1.0,1.8
1.0,1.52
1.0,1.5
1.0,1.7
1.0,1.6
1.0,1.63
1.0,1.65
2.0,1.8
1.0,1.6
2.0,1.88
2.0,1.78
2.0,1.83
2.0,1.78
2.0,1.8
2.0,1.78
2.0,1.8
2.0,1.88
1.0,1.65
1.0,1.65
1.0,1.6
1.0,1.63
1.0,1.57
1.0,1.55
1.0,1.73
1.0,1.57
1.0,1.65
1.0,1.57
1.0,1.73
1.0,1.73
1.0,1.65
1.0,1.65
1.0,1.68
1.0,1.65
1.0,1.6
2.0,1.75
2.0,1.93
1.0,1.7
2.0,1.85
2.0,1.8
1.0,1.65
1.0,1.6
1.0,1.6
1.0,1.75
1.0,1.75
1.0,1.63
2.0,1.75
2.0,1.73
2.0,1.88
1.0,1.65
2.0,1.85
2.0,1.83
1.0,1.55
1.0,1.75
1.0,1.57
1.0,1.55
1.0,1.6
1.0,1.7
1.0,1.68
1.0,1.65
1.0,1.7
2.0,1.88
2.0,1.75
2.0,1.78
2.0,1.73
2.0,1.9
2.0,1.8
2.0,1.7
2.0,1.75
2.0,1.7
2.0,1.83
1.0,1.83
2.0,1.75
2.0,1.98
2.0,1.78
2.0,1.6
2.0,1.68
1.0,1.65
2.0,1.96
1.0,1.55
1.0,1.65
2.0,1.83
1.0,1.6
2.0,1.6
2.0,1.73
1.0,1.6
1.0,1.8
2.0,1.75
2.0,1.8
1.0,1.78
1.0,1.7
1.0,1.65
2.0,1.8
1.0,1.65
1.0,1.7
1.0,1.52
1.0,1.68
1.0,1.55
1.0,1.68
1.0,1.85
1.0,1.55
2.0,1.83
2.0,1.78
2.0,1.8
2.0,1.8
2.0,1.83
2.0,1.9
2.0,1.9
2.0,1.7
2.0,1.8
2.0,1.7
2.0,1.78
2.0,1.83
2.0,1.78
1.0,1.65
2.0,1.83
2.0,1.78
2.0,1.83
2.0,1.73
2.0,1.8
2.0,1.75
2.0,1.73
2.0,1.78
2.0,1.68
2.0,1.68
1.0,1.65
1.0,1.6
1.0,1.73
1.0,1.68
1.0,1.65
1.0,1.35
1.0,1.68
1.0,1.7
1.0,1.5
1.0,1.63
1.0,1.65
1.0,1.78
1.0,1.52
1.0,1.63
1.0,1.63
2.0,1.75
2.0,1.75
1.0,1.7
1.0,1.55
2.0,1.75
1.0,1.6
1.0,1.63
1.0,1.63
1.0,1.57
1.0,1.63
1.0,1.68
1.0,1.52
1.0,1.63
2.0,1.73
2.0,1.85
2.0,1.85
2.0,1.7
2.0,1.88
2.0,1.73
2.0,1.75
2.0,1.78
2.0,1.88
2.0,1.83
2.0,1.93
2.0,1.85
2.0,1.85
1.0,1.63
1.0,1.57
1.0,1.68
1.0,1.7
1.0,1.55
1.0,1.6
1.0,1.65
1.0,1.65
1.0,1.63
1.0,1.7
1.0,1.4
2.0,1.65
2.0,1.68
2.0,1.78
2.0,1.8
2.0,1.7
2.0,1.85
2.0,1.9
2.0,1.63
2.0,1.73
2.0,1.65
2.0,1.75
2.0,1.85
2.0,1.78
2.0,1.7
2.0,1.85
2.0,1.83
2.0,1.88
2.0,1.7
2.0,1.68
2.0,1.8
2.0,1.75
2.0,1.78
2.0,1.73
1.0,1.63
2.0,1.83
2.0,1.8
2.0,1.7
2.0,1.73
2.0,1.98
2.0,1.85
2.0,1.75
2.0,1.73
2.0,1.8
2.0,1.85
1.0,1.7
1.0,1.65
2.0,1.73
2.0,1.68
2.0,1.73
2.0,1.7
2.0,1.9
2.0,1.63
2.0,1.68
2.0,1.73
2.0,1.78
2.0,1.9
2.0,1.75
2.0,1.85
2.0,1.98
2.0,1.7
2.0,1.75
2.0,1.73
1.0,1.6
1.0,1.57
1.0,1.6
2.0,1.73
2.0,1.68
2.0,1.75
2.0,1.88
2.0,1.8
2.0,1.75
2.0,2.08
2.0,1.8
2.0,1.75
2.0,1.78
2.0,1.83
2.0,1.68
1.0,1.7
1.0,1.65
1.0,1.73
1.0,1.73
1.0,1.65
1.0,1.68
1.0,1.7
1.0,1.75
1.0,1.68
1.0,1.63
1.0,1.68
1.0,1.5
1.0,1.65
1.0,1.6
1.0,1.7
1.0,1.65
1.0,1.63
1.0,1.63
1.0,1.6
1.0,1.6
1.0,1.6
1.0,1.6
1.0,1.65
1.0,1.55
1.0,1.63
1.0,1.68
2.0,1.7
2.0,1.75
2.0,1.68
2.0,1.85
2.0,1.88
2.0,1.88
1.0,1.7
2.0,1.8
2.0,1.9
2.0,1.78
1.0,1.7
2.0,1.63
2.0,1.85
2.0,1.88
2.0,1.83
1.0,1.55
2.0,1.78
2.0,1.83
2.0,1.88
2.0,1.83
2.0,1.8
2.0,1.85
2.0,1.75
2.0,1.65
1.0,1.52
2.0,1.73
2.0,1.73
2.0,1.78
1.0,1.68
1.0,1.65
2.0,1.73
2.0,1.85
2.0,1.65
2.0,1.78
2.0,1.83
1.0,1.63
1.0,1.63
1.0,1.57
2.0,1.75
2.0,1.65
1.0,1.52
2.0,1.78
2.0,1.85
2.0,1.8
2.0,1.83
1.0,1.68
1.0,1.63
2.0,1.75
1.0,1.55
2.0,1.88
1.0,1.65
2.0,1.96
2.0,1.7
2.0,1.8
2.0,1.63
2.0,1.55
1.0,1.63
2.0,1.8
1.0,1.63
1.0,1.65
1.0,1.55
2.0,1.7
2.0,1.65
1.0,1.73
1.0,1.7
1.0,1.7
1.0,1.68
1.0,1.63
1.0,1.63
1.0,1.6
1.0,1.65
1.0,1.75
1.0,1.65
1.0,1.65
1.0,1.6
2.0,1.8
2.0,1.83
2.0,1.75
2.0,1.8
2.0,1.83
2.0,1.68
2.0,1.83
1.0,1.63
1.0,1.73
1.0,1.7
1.0,1.63
1.0,1.6
2.0,1.85
2.0,1.68
2.0,1.8
2.0,1.88
2.0,1.75
2.0,1.8
2.0,1.8
2.0,1.8
2.0,1.83
2.0,1.8
2.0,1.73
2.0,1.8
2.0,1.68
2.0,1.83
1.0,1.78
1.0,1.63
1.0,1.68
1.0,1.63
1.0,1.7
1.0,1.65
1.0,1.6
1.0,1.75
1.0,1.6
1.0,1.63
1.0,1.68
1.0,1.63
1.0,1.8
1.0,1.52
1.0,1.68
1.0,1.65
1.0,1.63
1.0,1.55
1.0,1.7
1.0,1.63
1.0,1.7
1.0,1.6
1.0,1.65
1.0,1.55
1.0,1.45
1.0,1.68
2.0,1.73
2.0,1.63
2.0,1.73
2.0,1.85
2.0,1.85
2.0,1.6
2.0,1.8
2.0,1.57
2.0,1.68
2.0,1.75
2.0,1.65
2.0,1.7
2.0,1.73
1.0,1.7
2.0,1.73
2.0,1.85
2.0,1.83
2.0,1.7
2.0,1.85
2.0,1.83
2.0,1.75
2.0,1.75
2.0,1.73
2.0,1.8
2.0,1.68
1.0,1.6
1.0,1.78
1.0,1.63
1.0,1.63
1.0,1.63
1.0,1.6
1.0,1.63
1.0,1.68
1.0,1.7
1.0,1.73
1.0,1.68
2.0,1.78
2.0,1.65
2.0,1.85
2.0,1.8
2.0,1.78
2.0,1.88
2.0,1.85
2.0,1.88
2.0,1.8
2.0,1.83
2.0,1.85
2.0,1.65
2.0,1.63
2.0,1.7
2.0,1.85
2.0,1.88
2.0,1.55
2.0,1.7
2.0,1.8
2.0,1.75
2.0,1.78
2.0,1.75
2.0,1.9
2.0,1.65
2.0,1.73
2.0,1.47
2.0,1.93
2.0,1.63
2.0,1.6
2.0,1.6
2.0,1.75
2.0,1.85
2.0,1.73
2.0,1.88
2.0,1.68
2.0,1.65
2.0,1.78
2.0,1.68
2.0,1.83
2.0,1.88
2.0,1.8
2.0,1.8
2.0,1.8
2.0,1.88
2.0,1.73
2.0,1.83
2.0,1.73
2.0,1.75
2.0,1.78
2.0,1.83
2.0,1.7
2.0,1.75
2.0,2.03
2.0,1.63
2.0,1.75
2.0,1.75
2.0,1.78
2.0,1.78
2.0,1.88
2.0,1.75
2.0,1.78
2.0,1.93
2.0,1.85
2.0,1.78
2.0,1.75
2.0,1.93
2.0,1.88
2.0,1.7
2.0,1.75
2.0,1.88
2.0,1.8
2.0,1.88
2.0,1.7
2.0,1.88
2.0,1.8
2.0,1.93
2.0,1.78
2.0,1.85
2.0,1.83
2.0,1.83
2.0,1.78
2.0,1.73
2.0,1.75
2.0,1.75
1.0,1.68
1.0,1.6
1.0,1.73
2.0,1.8
2.0,1.75
2.0,1.7
2.0,1.65
2.0,1.96
2.0,1.7
2.0,1.78
1.0,1.55
1.0,1.68
1.0,1.6
1.0,1.55
1.0,1.65
1.0,1.55
1.0,1.6
1.0,1.6
1.0,1.52
1.0,1.7
1.0,1.63
1.0,1.57
1.0,1.57
1.0,1.55
2.0,1.85
2.0,1.78
2.0,1.83
2.0,1.78
2.0,1.83
2.0,1.73
2.0,1.78
2.0,1.75
2.0,1.78
2.0,1.78
2.0,1.88
2.0,1.78
2.0,1.78
2.0,1.78
2.0,1.9
2.0,1.57
2.0,1.88
2.0,1.73
1.0,1.55
1.0,1.63
1.0,1.63
1.0,1.7
1.0,1.65
1.0,1.63
1.0,1.65
1.0,1.7
1.0,1.7
1.0,1.55
1.0,1.68
2.0,1.83
2.0,1.8
2.0,1.7
2.0,1.73
2.0,1.75
2.0,1.73
1.0,1.6
1.0,1.6
1.0,1.6
1.0,1.7
1.0,1.57
1.0,1.6
1.0,1.52
1.0,1.65
1.0,1.68
1.0,1.57
1.0,1.68
1.0,1.63
1.0,1.5
1.0,1.7
2.0,1.83
2.0,1.83
2.0,1.7
1.0,1.68
1.0,1.5
1.0,1.63
1.0,1.68
1.0,1.55
1.0,1.73
1.0,1.73
1.0,1.7
1.0,1.63
1.0,1.6
1.0,1.63
1.0,1.68
1.0,1.63
1.0,1.68
2.0,1.68
2.0,1.78
2.0,1.78
2.0,1.85
2.0,1.83
2.0,1.68
2.0,1.73
2.0,1.8
2.0,1.83
2.0,1.75
2.0,1.73
2.0,1.93
2.0,1.78
1.0,1.68
1.0,1.65
1.0,1.68
1.0,1.63
1.0,1.6
1.0,1.6
1.0,1.68
1.0,1.68
1.0,1.73
2.0,1.68
2.0,1.7
2.0,1.85
2.0,1.83
1.0,1.7
1.0,1.7
1.0,1.6
1.0,1.7
1.0,1.73
2.0,1.83
2.0,1.63
2.0,1.85
2.0,1.68
2.0,1.7
1.0,1.68
1.0,1.57
1.0,1.6
1.0,1.78
1.0,1.73
1.0,1.6
1.0,1.52
1.0,1.6
2.0,1.7
2.0,1.75
2.0,1.73
2.0,1.73
2.0,1.8
2.0,1.8
2.0,1.93
2.0,1.75
2.0,1.8
2.0,1.8
2.0,1.88
2.0,1.78
2.0,1.83
2.0,1.7
2.0,1.8
2.0,1.83
2.0,1.68
2.0,1.88
2.0,1.68
2.0,1.96
2.0,1.73
1.0,1.65
1.0,1.68
1.0,1.57
1.0,1.63
1.0,1.55
1.0,1.55
1.0,1.68
1.0,1.65
1.0,1.68
1.0,1.6
1.0,1.6
1.0,1.63
2.0,1.63
2.0,1.7
2.0,1.68
2.0,1.73
2.0,1.85
2.0,1.83
2.0,1.68
1.0,1.57
1.0,1.7
1.0,1.55
1.0,1.65
1.0,1.65
1.0,1.6
1.0,1.63
1.0,1.6
1.0,1.57
1.0,1.65
1.0,1.7
1.0,1.7
1.0,1.63
1.0,1.6
1.0,1.7
2.0,1.85
2.0,1.75
2.0,1.7
2.0,1.8
2.0,1.78
2.0,1.83
2.0,1.83
2.0,1.9
2.0,1.75
2.0,1.75
